main_category,code,url,product_name,nutrition_grade_fr,energy,proteins,stores_y
Meat,5000116104222,https://fr.openfoodfacts.org/produit/5000116104222/haches-a-l-oignon-birdseye,Hachés à l'Oignon,d,1068,14,Noz
Meat,3273230068738,https://fr.openfoodfacts.org/produit/3273230068738/le-hache-bigard,Le Haché,-,-,-,
Meat,3265980786390,https://fr.openfoodfacts.org/produit/3265980786390/10-burgers-a-la-tomate-surgeles-sans-marque,10 Burgers à la Tomate Surgelés,c,887,13,
Meat,3273230050269,https://fr.openfoodfacts.org/produit/3273230050269/hache-au-boeuf-oignons-bigard,Haché au Bœuf Oignons,d,1107,16,
Meat,3181231002494,https://fr.openfoodfacts.org/produit/3181231002494/savour-burgers-surgeles,Savour Burgers Surgelés,d,1042,13,
Meat,3266110093579,https://fr.openfoodfacts.org/produit/3266110093579/2-steak-gite-noix-kermene,2* Steak Gîte Noix,-,-,-,
Meat,3250391908738,https://fr.openfoodfacts.org/produit/3250391908738/tendre-moelleux-15-m-g-jean-roze,Tendre & Moelleux 15% M.G.,d,922,15,Intermarché
Meat,3253880000357,https://fr.openfoodfacts.org/produit/3253880000357/10-burgers-oignons-societe-alimentaire-de-guidel,10 Burgers Oignons,d,774,13.2,
Meat,3181232519465,https://fr.openfoodfacts.org/produit/3181232519465/boulettes-de-viande-au-boeuf-et-oignons-charal,Boulettes de Viande au Bœuf et Oignons,c,778,14,
Meat,3273230257767,https://fr.openfoodfacts.org/produit/3273230257767/10-burgers-surgeles-bigard,10 burgers surgelés,d,816,13.5,Auchan
Meat,26062167,https://fr.openfoodfacts.org/produit/26062167/entrecote-boucherie-st-clement,Entrecôte,c,958,19,Lidl
Meat,3512690002020,https://fr.openfoodfacts.org/produit/3512690002020/10-burgers-a-l-oignon-surgeles-isla-delice,10 Burgers a l'oignon surgelés,d,1075,16,Magasins U
Meat,3700091900544,https://fr.openfoodfacts.org/produit/3700091900544/burger-a-l-oignon-isla-isla-mondial,Burger à l'oignon Isla,a,1017,14,
One-dish meals,3181238922696,https://fr.openfoodfacts.org/produit/3181238922696/carpaccio-grand-cru-et-son-assaisonnement-raffine-charal,Carpaccio Grand Cru et son assaisonnement raffiné.,b,969,20,Franprix
Meat,2870232089870,https://fr.openfoodfacts.org/produit/2870232089870/roti-viande-charolaise-sans-marque,Roti viande charolaise,-,-,-,Carrefour market
Meat,4036521005183,https://fr.openfoodfacts.org/produit/4036521005183/30-keuftes-d-akcabat,30 Keuftes d'Akcabat,d,929,12,
Meat,3181232520058,https://fr.openfoodfacts.org/produit/3181232520058/le-3-poivres-charal,Le 3 Poivres,d,874,18.4,
Meat,0292473055896,https://fr.openfoodfacts.org/produit/0292473055896/2-paves-viande-bovine-charal,2 pavés viande bovine,a,473,23,carrefour
Meat,3127830954840,https://fr.openfoodfacts.org/produit/3127830954840/roti-cuit-de-boeuf-charal,rôti cuit de bœuf,c,602,21,-
One-dish meals,3181232180986,https://fr.openfoodfacts.org/produit/3181232180986/2-paves-a-l-huile-d-olive-et-au-basilic-charal,2 Pavés à l'Huile d'Olive et au Basilic,a,538,21,Franprix
Meat,3760063846874,https://fr.openfoodfacts.org/produit/3760063846874/viande-hachee-de-boeuf-surgelee-sans-marque,Viande hachée de boeuf surgelée,d,975,17.5,
Meat,22147165,https://fr.openfoodfacts.org/produit/22147165/corned-beef-boklunder,Corned Beef,d,494,24,Aldi
Meat,3488830804222,https://fr.openfoodfacts.org/produit/3488830804222/1-3-boeuf-gelee-hereford-270g-hereford-brand,1 / 3 Boeuf Gelee Hereford 270G,c,556,17,Vival
Meat,3488830804222,https://fr.openfoodfacts.org/produit/3488830804222/1-3-boeuf-gelee-hereford-270g-hereford-brand,1 / 3 Boeuf Gelee Hereford 270G,c,556,17, Magasins U
Meat,3436590010018,https://fr.openfoodfacts.org/produit/3436590010018/10-beefburger-oriental-viandes,10 Beefburger,d,999,11.6,Magasins U
Meat,3265980361917,https://fr.openfoodfacts.org/produit/3265980361917/10-extra-tendres-haches-15-de-matieres-grasses-toupargel,10 extra-tendres hachés 15% de matieres grasses,d,883,17,Toupargel
Meat,2606420022240,https://fr.openfoodfacts.org/produit/2606420022240/preparation-bouchere-viande-limousine,Préparation Bouchère Viande Limousine,-,-,-,Super U
One-dish meals,3181232220279,https://fr.openfoodfacts.org/produit/3181232220279/tartare-charal,Tartare,b,569,16,Carrefour
Meat,3270160608188,https://fr.openfoodfacts.org/produit/3270160608188/mini-burgers-cuits-saveur-bbq-picard,Mini-Burgers Cuits Saveur BBQ,c,904,15,Picard
Meat,3273230298968,https://fr.openfoodfacts.org/produit/3273230298968/carpaccio-huile-olive-basilic-bigard,"Carpaccio, huile olive & basilic",a,841,19,Super U
Meat,3270160608287,https://fr.openfoodfacts.org/produit/3270160608287/bavette-d-aloyau-race-charolaise-picard,Bavette d'Aloyau Race Charolaise,a,456,21,Picard
Processed meat,3517738902416,https://fr.openfoodfacts.org/produit/3517738902416/effeuillades-de-viande-sechee-de-boeuf-charcupac,Effeuillades de viande séchée de bœuf ,d,736,35.9,
One-dish meals,20060237,https://fr.openfoodfacts.org/produit/20060237/poelee-de-kebab-glenfell,Poêlée de Kebab,d,934,18,LIDL
Meat,3270160601738,https://fr.openfoodfacts.org/produit/3270160601738/4-biftecks-de-bavette-d-aloyau-a-griller-picard,4 Biftecks de Bavette d'Aloyau à Griller,a,531,20.7,Picard
Meat,20592622,https://fr.openfoodfacts.org/produit/20592622/15-boulettes-au-boeuf-l-etal-du-boucher,15 Boulettes au Bœuf,d,1063,14,Lidl
